object_id,mean_mae,disagreement,best_gap,best_model,best_model_index,error_bin,disagreement_bin,error_regime,disagreement_regime
M376::pattern0::L36,513.9499976034195,21.71224717046358,19.44788537895613,XGB,3,1,0,medium,low
M377::pattern0::L36,281.5134337720672,36.50525443883662,7.511501736111086,AutoARIMA,1,0,1,low,medium
M378::pattern0::L36,883.7541614465998,85.1509715750718,169.135976298552,AutoARIMA,1,2,1,high,medium
M379::pattern0::L36,683.8835041219459,211.5232451494859,0.021355523003478538,AutoETS,0,2,2,high,high
M37::pattern0::L36,1606.0314401430992,78.43537846908693,48.14778645833326,AutoARIMA,1,2,1,high,medium
M380::pattern0::L36,907.522247169418,22.293752692993863,18.59349171586655,XGB,3,2,0,high,low
M381::pattern0::L36,919.5153609100856,54.8867788879054,23.736028147852267,LGBM,2,2,1,high,medium
M382::pattern0::L36,1486.8189956541821,283.77212112842005,17.646760438826277,LGBM,2,2,2,high,high
M383::pattern0::L36,1204.2409193564988,58.511012958007456,11.674397786458485,AutoARIMA,1,2,1,high,medium
M384::pattern0::L36,598.2211824712796,201.9600600856709,13.756103515625,AutoARIMA,1,1,2,medium,high
M385::pattern0::L36,744.1440062347871,148.06166282555486,92.0394287109375,AutoARIMA,1,2,2,high,high
M386::pattern0::L36,1286.262574557475,188.80680374520756,12.072206110377238,LGBM,2,2,2,high,high
M387::pattern0::L36,1018.4319670798701,102.06432551637137,17.76223789413291,XGB,3,2,2,high,high
M388::pattern0::L36,707.4742053078528,186.9625436700266,23.531222873263914,AutoETS,0,2,2,high,high
M389::pattern0::L36,1167.074445397213,109.06841318436415,0.2362353382306992,LGBM,2,2,2,high,high
M38::pattern0::L36,1057.9200495283073,12.219022575642187,9.089382595486086,AutoARIMA,1,2,0,high,low
M390::pattern0::L36,1335.6409735202487,23.98345828768617,7.820149739583485,AutoETS,0,2,0,high,low
M391::pattern0::L36,1019.6732333999698,74.90642393625666,57.82071940104163,AutoETS,0,2,1,high,medium
M392::pattern0::L36,447.0773064127328,17.51413805962728,21.181133203014667,AutoARIMA,1,1,0,medium,low
M393::pattern0::L36,445.4462484290227,53.2502592168061,1.0635036892361427,AutoARIMA,1,1,1,medium,medium
M394::pattern0::L36,1077.7509610178554,138.54001471086542,52.87512770857495,XGB,3,2,2,high,high
M395::pattern0::L36,968.7673461075316,41.53213024802486,86.13340928819446,AutoETS,0,2,1,high,medium
M396::pattern0::L36,528.3348321256636,21.15057640751438,0.2895509418904112,XGB,3,1,0,medium,low
M397::pattern0::L36,833.0737184220351,52.60952243880668,11.528163618695771,XGB,3,2,1,high,medium
M398::pattern0::L36,837.6082431163934,217.90413011382995,29.82161721383727,AutoARIMA,1,2,2,high,high
M399::pattern0::L36,1409.7143898899053,285.28269225990874,45.929445410316475,XGB,3,2,2,high,high
M39::pattern0::L36,848.2287885693424,135.56091455082995,4.799370659722285,AutoARIMA,1,2,2,high,high
M3::pattern0::L36,1743.7513202660043,224.5342088013051,29.418058779732974,LGBM,2,2,2,high,high
M400::pattern0::L36,1270.6716671750205,91.32769738915192,53.80548380424807,XGB,3,2,1,high,medium
M401::pattern0::L36,1183.1420088550626,125.34696558474599,263.6487358940973,AutoARIMA,1,2,2,high,high
M402::pattern0::L36,1134.6135872079287,169.22922634894223,69.50062704352058,AutoARIMA,1,2,2,high,high
M403::pattern0::L36,1305.139779655927,162.8494134329333,42.08435468358357,LGBM,2,2,2,high,high
M404::pattern0::L36,630.5981749181211,37.67340296317551,1.2100564039044457,LGBM,2,1,1,medium,medium
M405::pattern0::L36,990.5652506732283,76.42869505775286,8.848388671875,AutoARIMA,1,2,1,high,medium
M406::pattern0::L36,551.2633370738897,36.357724789542374,22.97734917534723,AutoETS,0,1,1,medium,medium
M407::pattern0::L36,248.77046128673663,34.69377790146443,2.6351996527777715,AutoARIMA,1,0,1,low,medium
M408::pattern0::L36,208.21834048822637,33.98145022978156,13.809353298611114,AutoARIMA,1,0,1,low,medium
M409::pattern0::L36,447.83982258399266,55.368825004445725,50.58094618055554,AutoARIMA,1,1,1,medium,medium
M40::pattern0::L36,1283.1074123523986,236.33550716609363,481.5077744095946,AutoARIMA,1,2,2,high,high
M410::pattern0::L36,174.49362839223625,40.3099251904205,43.29486762152777,AutoARIMA,1,0,1,low,medium
M411::pattern0::L36,428.1084392532924,32.847136083568344,38.461344401041686,AutoARIMA,1,1,0,medium,low
M412::pattern0::L36,488.71971655669444,37.47909418727737,27.714246961805543,AutoARIMA,1,1,1,medium,medium
M413::pattern0::L36,510.0583089957689,12.191855439789784,27.1668836805556,AutoARIMA,1,1,0,medium,low
M414::pattern0::L36,226.95846349409152,22.051456439096786,1.1354709201388857,AutoARIMA,1,0,0,low,low
M415::pattern0::L36,405.4820972460141,73.0307378886975,28.627170138888857,AutoARIMA,1,1,1,medium,medium
M416::pattern0::L36,841.6510806977079,138.77586141109782,11.13410794708227,XGB,3,2,2,high,high
M417::pattern0::L36,480.7625996973145,113.9562858730686,0.6941460503472285,AutoETS,0,1,2,medium,high
M418::pattern0::L36,205.93816197949747,31.04053239208963,43.95123663062117,LGBM,2,0,0,low,low
M419::pattern0::L36,1128.8931965811007,311.1806748578178,21.975726862597526,XGB,3,2,2,high,high
M41::pattern0::L36,1085.7164447498021,88.8078992548892,108.96088324652771,AutoETS,0,2,1,high,medium
M420::pattern0::L36,343.7128536166892,19.728100770748597,0.18229166666668561,AutoARIMA,1,1,0,medium,low
M421::pattern0::L36,439.39504152846325,40.9150828613466,3.158420138888914,AutoETS,0,1,1,medium,medium
M422::pattern0::L36,432.67618126359446,14.918088637961178,4.065185123822232,AutoARIMA,1,1,0,medium,low
M423::pattern0::L36,344.71481451083616,174.7607915722437,0.06206597222222854,AutoARIMA,1,1,2,medium,high
M424::pattern0::L36,619.7062311115837,50.71221742222575,40.09418442897379,XGB,3,1,1,medium,medium
M425::pattern0::L36,653.7566581871699,22.703030502344763,0.8707682291666288,AutoARIMA,1,2,0,high,low
M426::pattern0::L36,414.9613924483559,16.088652273018475,18.829890539951293,XGB,3,1,0,medium,low
M427::pattern0::L36,710.5876184778249,27.248020288179223,22.29131753835361,LGBM,2,2,0,high,low
M428::pattern0::L36,922.4897585540295,41.31458218494686,21.4566650390625,AutoARIMA,1,2,1,high,medium
M429::pattern0::L36,1873.4519214858678,28.631100509149014,30.535250254445145,LGBM,2,2,0,high,low
M42::pattern0::L36,1698.5800919407502,199.58379039496108,419.6534298289728,AutoARIMA,1,2,2,high,high
M430::pattern0::L36,702.8859619406692,53.11621232008431,42.92662217881946,AutoARIMA,1,2,1,high,medium
M431::pattern0::L36,1312.6981258826036,177.82652980440074,17.127526851529865,LGBM,2,2,2,high,high
M432::pattern0::L36,661.5395134798068,139.70015672803564,321.30764431423614,AutoARIMA,1,2,2,high,high
M433::pattern0::L36,450.71050455956674,34.54685991727582,0.1279025607638573,AutoETS,0,1,1,medium,medium
M434::pattern0::L36,1013.1022256922807,13.426543935636744,15.82061654511324,LGBM,2,2,0,high,low
M435::pattern0::L36,999.451012679541,129.09650993853143,60.81120878565548,AutoETS,0,2,2,high,high
M436::pattern0::L36,1082.8535541176486,101.12832446970232,71.19150596712234,XGB,3,2,2,high,high
M437::pattern0::L36,819.8515404884836,30.323911400676053,25.594835069444457,AutoARIMA,1,2,0,high,low
M438::pattern0::L36,678.346745293712,113.64756594410085,200.85369194878467,AutoARIMA,1,2,2,high,high
M439::pattern0::L36,933.6837418838277,17.300750254177157,7.562992534133741,LGBM,2,2,0,high,low
M43::pattern0::L36,2686.5865167188967,70.2401697919387,143.51567925347217,AutoARIMA,1,2,1,high,medium
M440::pattern0::L36,985.0360560994573,7.310832684319929,7.970575949393265,LGBM,2,2,0,high,low
M441::pattern0::L36,116.2903158805866,2.6557616285880563,1.1330295138888857,AutoARIMA,1,0,0,low,low
M442::pattern0::L36,409.6774379174968,45.121964829012214,21.29157946946617,XGB,3,1,1,medium,medium
M443::pattern0::L36,1310.4996240863575,165.25570299054417,20.06365476556857,XGB,3,2,2,high,high
M444::pattern0::L36,193.15811221235913,23.77751572610769,2.2658581376310565,XGB,3,0,0,low,low
M445::pattern0::L36,168.78531666494234,59.62361981796632,22.690565321180543,AutoARIMA,1,0,1,low,medium
M446::pattern0::L36,286.09389454287316,36.60100267621321,1.1043294270833428,AutoETS,0,0,1,low,medium
M447::pattern0::L36,227.72110389462333,34.043651194427596,60.61781141493054,AutoETS,0,0,1,low,medium
M448::pattern0::L36,533.8960035651428,177.0980999204255,25.096438305710137,XGB,3,1,2,medium,high
M449::pattern0::L36,999.1314704596725,41.05431986480603,6.583227758829139,XGB,3,2,1,high,medium
M44::pattern0::L36,1382.923420583123,353.5051652734013,263.70936414930543,AutoARIMA,1,2,2,high,high
M450::pattern0::L36,308.4918864784865,37.303253366756856,2.2158203125,AutoETS,0,1,1,medium,medium
M451::pattern0::L36,402.3050289018203,14.699587907984384,14.291015625,AutoETS,0,1,0,medium,low
M452::pattern0::L36,279.4746919920558,54.179249907101614,6.3408203125,AutoETS,0,0,1,low,medium
M453::pattern0::L36,592.7398547634402,12.20355355963026,6.571288411517116,LGBM,2,1,0,medium,low
M454::pattern0::L36,236.87648359261254,16.673967561488592,12.655490451388886,AutoARIMA,1,0,0,low,low
M455::pattern0::L36,519.0461718779176,21.942631697156564,18.931396484375,AutoETS,0,1,0,medium,low
M456::pattern0::L36,272.6552920411226,4.201054392891237,8.231356966573685,XGB,3,0,0,low,low
M457::pattern0::L36,495.4478686276935,60.261957824151914,3.730873382301752,XGB,3,1,1,medium,medium
M458::pattern0::L36,603.4684747572471,198.98616442750776,46.350439078650254,LGBM,2,1,2,medium,high
M459::pattern0::L36,590.4431363486515,290.8186971569133,13.818728662835213,XGB,3,1,2,medium,high
M45::pattern0::L36,1466.6205294452416,378.9074479162437,558.5581868489584,AutoETS,0,2,2,high,high
M460::pattern0::L36,193.38332797341639,4.829043220969269,0.46261935763888573,AutoETS,0,0,0,low,low
M461::pattern0::L36,455.4449194643825,23.198581286450853,3.0486653645833144,AutoARIMA,1,1,0,medium,low
M462::pattern0::L36,236.31092258860463,13.551703223056293,1.0356825419185043,XGB,3,0,0,low,low
M463::pattern0::L36,401.457533092555,61.87952903105194,19.028754332025642,XGB,3,1,1,medium,medium
M464::pattern0::L36,292.8575530868562,21.300301313788687,0.35205078125,AutoARIMA,1,0,0,low,low
M465::pattern0::L36,1028.2478746978923,159.04066252414276,11.753000527680342,XGB,3,2,2,high,high
M466::pattern0::L36,752.2583185988543,128.40580865081498,15.045752694028579,XGB,3,2,2,high,high
M467::pattern0::L36,713.541389924842,25.225360574972115,37.943978061048824,LGBM,2,2,0,high,low
M468::pattern0::L36,386.6963861954669,22.002235168318947,0.3441297743055429,AutoETS,0,1,0,medium,low
M469::pattern0::L36,511.6423318886413,37.71720281052623,0.23269314236108585,AutoARIMA,1,1,1,medium,medium
M46::pattern0::L36,786.7512936621814,34.133841336677214,3.3884754299758697,XGB,3,2,1,high,medium
M470::pattern0::L36,541.4774238069305,10.225048156873196,6.899468315972172,AutoARIMA,1,1,0,medium,low
M471::pattern0::L36,115.48694971594244,25.09939114297715,9.252776223035752,LGBM,2,0,0,low,low
M472::pattern0::L36,463.35959928114323,16.067586633340692,0.7450629340277715,AutoARIMA,1,1,0,medium,low
M473::pattern0::L36,193.52204281880182,33.869291442881824,39.18218315972223,AutoARIMA,1,0,1,low,medium
M474::pattern0::L36,558.6894744554108,100.41505869123935,157.58648003472223,AutoARIMA,1,1,2,medium,high
M475::pattern0::L36,526.1010147620955,225.89323633314513,44.55076911782635,XGB,3,1,2,medium,high
M476::pattern0::L36,581.8212170402975,351.61712225840114,14.539245331329283,XGB,3,1,2,medium,high
M477::pattern0::L36,478.99565522312804,94.31432521253814,2.553848291515294,LGBM,2,1,2,medium,high
M478::pattern0::L36,1194.7262961944214,176.24196658554123,64.622741201297,AutoETS,0,2,2,high,high
M479::pattern0::L36,370.371576960801,154.31839236568646,30.663845486111114,AutoETS,0,1,2,medium,high
M47::pattern0::L36,1005.711984334594,280.2210657304003,153.8315700954861,AutoARIMA,1,2,2,high,high
M480::pattern0::L36,597.1590583830815,133.175649750333,145.19550238715277,AutoETS,0,1,2,medium,high
M481::pattern0::L36,152.67225620162418,73.40425615212584,11.872178819444443,AutoARIMA,1,0,1,low,medium
M482::pattern0::L36,57.25722078926886,26.96184557980851,26.362826912368995,LGBM,2,0,0,low,low
