run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,experiment,system,n_queries,p@10,ap@10,ndcg@10,p@15,ap@15,ndcg@15,comparison,approach
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,exp1_pattern_main,random,151,0.5278145695364238,0.014068681502421217,0.21752786360534887,0.5306843267108168,0.02011877160395591,0.2172180772342291,,
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,exp2_whole_vs_pattern,raw_cosine,151,0.6298013245033112,0.0194427720055876,0.3215064254944999,0.6088300220750552,0.02706010898719398,0.31090098370940006,cosine,whole-series
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,exp2_whole_vs_pattern,pattern_raw_cosine,151,0.613907284768212,0.019283312167091365,0.29322580039032337,0.5991169977924945,0.02702320128078745,0.2859926769048483,cosine,pattern
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,exp2_whole_vs_pattern,raw_dtw,151,0.6403973509933774,0.019981492179270085,0.32268232027045185,0.6233995584988962,0.027922387832619047,0.31363505327040014,dtw,whole-series
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,exp2_whole_vs_pattern,pattern_raw_dtw,151,0.6238410596026489,0.019776601608616568,0.3040311739508287,0.6176600441501103,0.02816878575148147,0.29698292716629443,dtw,pattern
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,exp2_whole_vs_pattern,tsfel,151,0.7397350993377484,0.025375780398493628,0.3944842569030779,0.7386313465783665,0.03726939910467183,0.3923332621658128,tsfel,whole-series
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,exp2_whole_vs_pattern,pattern_tsfel,151,0.7324503311258278,0.025185865057854608,0.34728545801211175,0.7209713024282561,0.03639558771568113,0.34707476494337625,tsfel,pattern
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,exp3_retrieval_ablation,random,151,0.5278145695364238,0.014068681502421217,0.21752786360534887,0.5306843267108168,0.02011877160395591,0.2172180772342291,,random
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,exp3_retrieval_ablation,pattern_tsfel,151,0.7324503311258278,0.025185865057854608,0.34728545801211175,0.7209713024282561,0.03639558771568113,0.34707476494337625,,best_content_baseline
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,12,"12,24,36",2,4,42,1,full,exp4_pattern_length_sensitivity,pattern_tsfel,151,0.7278145695364239,0.025402024582278186,0.38498745226249936,0.7280353200883003,0.03701498298217101,0.37816653756799307,,
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,12,"12,24,36",2,4,42,1,full,exp4_pattern_length_sensitivity,pattern_raw_cosine,151,0.6198675496688743,0.018840776832966213,0.3105845275085068,0.6163355408388521,0.027094381682926865,0.30249594020190707,,
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,12,"12,24,36",2,4,42,1,full,exp4_pattern_length_sensitivity,pattern_raw_dtw,151,0.5900662251655628,0.017872551756703863,0.30269703306949364,0.6048565121412803,0.026261484618380012,0.3020081101560556,,
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,exp4_pattern_length_sensitivity,pattern_tsfel,151,0.7324503311258278,0.025185865057854608,0.34728545801211175,0.7209713024282561,0.03639558771568113,0.34707476494337625,,
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,exp4_pattern_length_sensitivity,pattern_raw_dtw,151,0.6238410596026489,0.019776601608616568,0.3040311739508287,0.6176600441501103,0.02816878575148147,0.29698292716629443,,
