run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,task,system,metric,n_queries,mean,std,ci95_low,ci95_high,mean_p@10,mean_ap@10,mean_ndcg@15,mean_p@15,mean_ap@15
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task2,pattern_raw_cosine,ndcg@10,151,0.2932258003903233,0.1629482961404281,0.2691372813895792,0.3191403659458892,0.613907284768212,0.0192833121670913,0.2859926769048483,0.5991169977924945,0.0270232012807874
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task2,pattern_raw_cosine+pattern_tsfel,ndcg@10,151,0.3472854580121117,0.1823432999042643,0.3188100919197404,0.3767501234990946,0.7324503311258278,0.0251858650578546,0.3470747649433762,0.7209713024282561,0.0363955877156811
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task2,pattern_raw_dtw,ndcg@10,151,0.3040311739508287,0.1724675803035517,0.2766077799423331,0.3320843171500934,0.6238410596026489,0.0197766016086165,0.2969829271662944,0.6176600441501103,0.0281687857514814
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task2,pattern_tsfel,ndcg@10,151,0.3472854580121117,0.1823432999042643,0.319193774844164,0.3758190179209077,0.7324503311258278,0.0251858650578546,0.3470747649433762,0.7209713024282561,0.0363955877156811
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task2,random,ndcg@10,151,0.2175278636053488,0.1018851594640708,0.202112927317882,0.233391707446087,0.5278145695364238,0.0140686815024212,0.2172180772342291,0.5306843267108168,0.0201187716039559
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task1,random,ndcg@15,151,0.2628275294680587,0.1020020705881782,0.2465747732068524,0.2785722613696878,0.5668874172185431,0.0156448766536766,0.2628275294680587,0.566887417218543,0.022289761406283
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task1,raw_cosine,ndcg@15,151,0.3109009837094,0.138148791797406,0.2895618793620949,0.3332819655029767,0.6298013245033112,0.0194427720055876,0.3109009837094,0.6088300220750552,0.0270601089871939
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task1,raw_dtw,ndcg@15,151,0.3136350532704001,0.1398073280607336,0.2924122193377539,0.335467965723797,0.6403973509933774,0.01998149217927,0.3136350532704001,0.6233995584988962,0.027922387832619
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task1,raw_dtw+tsfel,ndcg@15,151,0.3922686236212374,0.1924136341546589,0.3611572490898658,0.4222553135600611,0.7443708609271523,0.0258636744198522,0.3922686236212374,0.7262693156732892,0.0369558888811795
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task1,tsfel,ndcg@15,151,0.3923332621658128,0.1901662203044371,0.3622326232262931,0.4244940943087198,0.7397350993377484,0.0253757803984936,0.3923332621658128,0.7386313465783665,0.0372693991046718
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task2,pattern_raw_cosine,ndcg@15,151,0.2859926769048483,0.1495437754636724,0.263620978602873,0.3094471430823385,0.613907284768212,0.0192833121670913,0.2859926769048483,0.5991169977924945,0.0270232012807874
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task2,pattern_raw_cosine+pattern_tsfel,ndcg@15,151,0.3470747649433762,0.1689547733140285,0.3202638200961182,0.37419876748212,0.7324503311258278,0.0251858650578546,0.3470747649433762,0.7209713024282561,0.0363955877156811
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task2,pattern_raw_dtw,ndcg@15,151,0.2969829271662944,0.1557712868397137,0.2730616069925052,0.3216703189304525,0.6238410596026489,0.0197766016086165,0.2969829271662944,0.6176600441501103,0.0281687857514814
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task2,pattern_tsfel,ndcg@15,151,0.3470747649433762,0.1689547733140285,0.3215052912110426,0.3734864995691439,0.7324503311258278,0.0251858650578546,0.3470747649433762,0.7209713024282561,0.0363955877156811
freqquarterly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h4__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,4,42,1,full,task2,random,ndcg@15,151,0.2172180772342291,0.0859116885039056,0.2037621812806196,0.2308485650752926,0.5278145695364238,0.0140686815024212,0.2172180772342291,0.5306843267108168,0.0201187716039559
freqquarterly__bins2__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,8,42,1,full,task1,random,ndcg@10,151,0.2511745326135026,0.1102860300209503,0.2342563851405799,0.2679597883966086,0.5450331125827814,0.0150974149848807,0.2532729328921904,0.5540838852097131,0.0217608587575055
freqquarterly__bins2__h8__seed42__pps1__regfull,results_ri_bins_sensitivity/quarterly/freqquarterly__bins2__h8__seed42__pps1__regfull,m3_quarterly,quarterly,4,24,"12,24,36",2,8,42,1,full,task1,raw_cosine,ndcg@10,151,0.3052560112616462,0.159868068989948,0.2798380848916602,0.3304867114196793,0.5920529801324503,0.0184435838499169,0.2941593224254177,0.5770419426048565,0.0257775243150902
