run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,scope,error_regime,best_model,disagreement_regime,n
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,4,42,1,full,whole_series,bin_0,XGB,bin_1,11
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,4,42,1,full,whole_series,bin_1,AutoARIMA,bin_0,30
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,4,42,1,full,whole_series,bin_1,AutoARIMA,bin_1,89
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,4,42,1,full,whole_series,bin_1,AutoETS,bin_0,37
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,4,42,1,full,whole_series,bin_1,AutoETS,bin_1,64
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,4,42,1,full,whole_series,bin_1,LGBM,bin_0,25
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,4,42,1,full,whole_series,bin_1,LGBM,bin_1,32
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,4,42,1,full,whole_series,bin_1,XGB,bin_0,14
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,,"12,24,36",2,4,42,1,full,whole_series,bin_1,XGB,bin_1,37
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,4,42,1,full,pattern_main,bin_0,AutoARIMA,bin_0,67
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,4,42,1,full,pattern_main,bin_0,AutoARIMA,bin_1,42
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,4,42,1,full,pattern_main,bin_0,AutoETS,bin_0,88
freqyearly__bins2__h4__seed42__pps1__regfull,results_ri_bins_sensitivity/yearly/freqyearly__bins2__h4__seed42__pps1__regfull,m3_yearly,yearly,1,24.0,"12,24,36",2,4,42,1,full,pattern_main,bin_0,AutoETS,bin_1,39
