object_id,mean_mae,disagreement,best_gap,best_model,best_model_index,error_bin,disagreement_bin,error_regime,disagreement_regime
M385::pattern0::L36,576.6050575596249,130.17615967938121,48.40679931640625,AutoETS,0,2,2,bin_2,bin_2
M386::pattern0::L36,1532.8975568075805,227.68536266131363,45.64678647511437,XGB,3,3,3,bin_3,bin_3
M387::pattern0::L36,1413.3490984183682,159.9763816404215,2.8630277880561152,XGB,3,3,3,bin_3,bin_3
M388::pattern0::L36,607.1911651306629,77.47327743856192,52.044230143229186,AutoARIMA,1,2,2,bin_2,bin_2
M389::pattern0::L36,1311.537993938677,31.318188799245974,52.86804377654221,LGBM,2,3,1,bin_3,bin_1
M38::pattern0::L36,1208.7858298689166,152.30110094051258,236.59814453125,AutoARIMA,1,3,3,bin_3,bin_3
M390::pattern0::L36,1821.4776723675354,16.790749129450845,2.3811848958332575,AutoETS,0,3,0,bin_3,bin_0
M391::pattern0::L36,1163.8993068234242,23.698640067849663,11.793272215571278,XGB,3,3,0,bin_3,bin_0
M392::pattern0::L36,504.95205995261716,13.933833200886086,6.33645419994798,LGBM,2,2,0,bin_2,bin_0
M393::pattern0::L36,504.01121402938657,35.65608459879525,14.0458984375,AutoARIMA,1,2,1,bin_2,bin_1
M394::pattern0::L36,1079.3364010114874,127.24812119935676,65.20888000353034,LGBM,2,3,2,bin_3,bin_2
M395::pattern0::L36,1096.1400471179184,167.8740668021601,5.24595914224642,XGB,3,3,3,bin_3,bin_3
M396::pattern0::L36,648.5816490128734,21.145139177287458,17.296817034443393,LGBM,2,2,0,bin_2,bin_0
M397::pattern0::L36,886.0859840281616,56.44285091181771,117.9356689453125,AutoARIMA,1,3,2,bin_3,bin_2
M398::pattern0::L36,983.1144879741468,35.16108919123183,21.17154947916663,AutoARIMA,1,3,1,bin_3,bin_1
M399::pattern0::L36,1274.1383489191408,62.47910806299776,53.0419819276035,LGBM,2,3,2,bin_3,bin_2
M39::pattern0::L36,728.34788551473,13.85958680064217,2.8848470052083712,AutoARIMA,1,2,0,bin_2,bin_0
M3::pattern0::L36,990.0001614162837,130.8003182443305,42.497802734375,AutoARIMA,1,3,2,bin_3,bin_2
M400::pattern0::L36,1432.8523302522012,64.27669006321705,26.71889132130559,XGB,3,3,2,bin_3,bin_2
M401::pattern0::L36,1146.467410040879,117.63389795614903,9.689177382056187,LGBM,2,3,2,bin_3,bin_2
M402::pattern0::L36,1083.5749723179758,193.17075014754724,18.729733123930146,LGBM,2,3,3,bin_3,bin_3
M403::pattern0::L36,1511.0824155586943,796.295986940203,27.925202599360546,XGB,3,3,3,bin_3,bin_3
M404::pattern0::L36,704.8624797502812,20.47736742216298,23.768464787937546,LGBM,2,2,0,bin_2,bin_0
M405::pattern0::L36,995.2765584905221,10.857528386892731,11.480021158854242,XGB,3,3,0,bin_3,bin_0
M406::pattern0::L36,272.0513203981935,80.6384397431965,17.95884194238215,LGBM,2,1,2,bin_1,bin_2
M407::pattern0::L36,145.4348902334317,55.4661238967301,2.91748046875,AutoARIMA,1,0,2,bin_0,bin_2
