run_id,run_dir,dataset_name,frequency,seasonal_period,pattern_len,pattern_lens,qrels_n_bins,forecast_h,seed,patterns_per_series,regime_definition,scope,error_regime,best_model,disagreement_regime,n
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,36.0,"12,24,36",2,3,42,1,full,pattern_length,bin_1,AutoARIMA,bin_0,70
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,36.0,"12,24,36",2,3,42,1,full,pattern_length,bin_1,AutoARIMA,bin_1,133
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,36.0,"12,24,36",2,3,42,1,full,pattern_length,bin_1,AutoETS,bin_0,58
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,36.0,"12,24,36",2,3,42,1,full,pattern_length,bin_1,AutoETS,bin_1,139
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,36.0,"12,24,36",2,3,42,1,full,pattern_length,bin_1,LGBM,bin_0,64
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,36.0,"12,24,36",2,3,42,1,full,pattern_length,bin_1,LGBM,bin_1,99
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,36.0,"12,24,36",2,3,42,1,full,pattern_length,bin_1,XGB,bin_0,48
freqmonthly__bins2__h3__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h3__seed42__pps1__regfull,m3_monthly,monthly,12,36.0,"12,24,36",2,3,42,1,full,pattern_length,bin_1,XGB,bin_1,103
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,6,42,1,full,whole_series,bin_0,AutoARIMA,bin_0,170
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,6,42,1,full,whole_series,bin_0,AutoARIMA,bin_1,86
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,6,42,1,full,whole_series,bin_0,AutoETS,bin_0,181
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,6,42,1,full,whole_series,bin_0,AutoETS,bin_1,105
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,6,42,1,full,whole_series,bin_0,LGBM,bin_0,62
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,6,42,1,full,whole_series,bin_0,LGBM,bin_1,10
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,6,42,1,full,whole_series,bin_0,XGB,bin_0,77
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,6,42,1,full,whole_series,bin_0,XGB,bin_1,12
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,6,42,1,full,whole_series,bin_1,AutoARIMA,bin_0,79
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,6,42,1,full,whole_series,bin_1,AutoARIMA,bin_1,171
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,6,42,1,full,whole_series,bin_1,AutoETS,bin_0,94
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,6,42,1,full,whole_series,bin_1,AutoETS,bin_1,226
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,6,42,1,full,whole_series,bin_1,LGBM,bin_0,28
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,6,42,1,full,whole_series,bin_1,LGBM,bin_1,43
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,6,42,1,full,whole_series,bin_1,XGB,bin_0,37
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,,"12,24,36",2,6,42,1,full,whole_series,bin_1,XGB,bin_1,47
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,6,42,1,full,pattern_main,bin_0,AutoARIMA,bin_0,123
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,6,42,1,full,pattern_main,bin_0,AutoARIMA,bin_1,83
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,6,42,1,full,pattern_main,bin_0,AutoETS,bin_0,125
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,6,42,1,full,pattern_main,bin_0,AutoETS,bin_1,99
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,6,42,1,full,pattern_main,bin_0,LGBM,bin_0,96
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,6,42,1,full,pattern_main,bin_0,LGBM,bin_1,34
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,6,42,1,full,pattern_main,bin_0,XGB,bin_0,100
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,6,42,1,full,pattern_main,bin_0,XGB,bin_1,31
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,6,42,1,full,pattern_main,bin_1,AutoARIMA,bin_0,79
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,6,42,1,full,pattern_main,bin_1,AutoARIMA,bin_1,169
freqmonthly__bins2__h6__seed42__pps1__regfull,results_ri_bins_sensitivity/monthly/freqmonthly__bins2__h6__seed42__pps1__regfull,m3_monthly,monthly,12,24.0,"12,24,36",2,6,42,1,full,pattern_main,bin_1,AutoETS,bin_0,63
